artist,song,peak-rank,Hit or Not,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
Chloe,Have Mercy,28,hit,"[Intro]
(Murda on the beat, so it's not nice)
Booty so big (Work), Lord, have mercy

[Chorus]
Why I keep bossing like I do (Work, work it, work it)
Why I keep flossing like I do (Work, work it, work it)
Why I keep saucing like I do (Work, work it, work it)
Why it keep costing like it do (Work, work it, work it)
All this ass up in my jeans (Work, work it, work it)
You can't get up in between (Work, work it, work it)
You tryna get a piece of me (Work, work it, work it)
I can teach you a couple things (Lord, have mercy, work)

[Verse 1]
Boy, you lookin' at me like I ain't give you no choice
If I count to three, bet you be on your knees
You wrapped 'round my hand like Cartier, oh
You can't get this thickness out of your mind

[Pre-Chorus]
He say he like that Laffy Taffy
He so goofy, call me daddy
He go stupid, he go daffy
Introduce me to his papi
He can never live without me
I'm so real, I'm never cappin'
If he got it like that, like that
I can take it, take it there
'Cause my
Booty so big (Work), Lord, have mercy
You might also like[Chorus]
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things (Lord, have mercy)
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things

[Verse 2]
Like
How to surf it, man, how to work it, man
It's on purpose, I'm doin' it big
Body language like speaking spanglish
I'll educate ya how to do this shit
Temporary, that's never rare-y
I'm necessary, yeah, I am that bitch
You can't get this thickness out of your mind
[Pre-Chorus]
He say he like that Laffy Taffy
He so goofy, call me daddy
He go stupid, he go daffy
Introduce me to his papi
He can never live without me
I'm so real, I'm never cappin'
If he got it like that, like that
I can take it, take it there
'Cause my
Booty so big (Work), Lord, have mercy

[Chorus]
Why I keep bossing like I do (I do)
Why I keep flossing like I do (I do)
Why I keep saucing like I do
Why it keep costing like it do
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things16",0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022,148779,4,['R&B']
Choppa Featuring Master P,Choppa Style,94,non-hit,"[Intro: Choppa & Master P]
Yo, Choppa, this P
I'm Uptown right now (Ow)
I'm on my way to the Westbank to put a twist on this thing ya heard? (Oh yeah)
Ow, oh yeah
Ow, oh yeah
Ow, oh yeah
Ow, who they want?

[Chorus: Choppa]
Choppa style, Chop-Chop-Choppa style
Choppa style, Chop-Chop, she want
Chop-Chop, she love Chop-Chop, she want
Chop-Chop, they love Chop-Chop

[Verse 1: Choppa]
Now I don't mean to sound rude, baby, or hurt you nothin'
I want an independent woman if she workin' with somethin'
I want a slim, fine woman with some twerk with her
She ain't got a lot of ass, but I can work with her
Want a big fine woman with some pop in her
She ain't got a lot of ass, but titties pop with her
Now I came here to get it buck
Represent for No Limit, if you ain't with it, catch a dump
We kneel it up in the trucks, you know what's up
We just signed with Universal and we got the clubs up
So put your head between your legs and touch your toes
Bounce your booty up and down, ooh, girl, there you go
Won't you walk like a model?
If you a independent woman maybe I'ma holla
You got your hair fixed nice with your clothes tight
You wanna shake it like a dog and do it all night, all night
Now assume the position and get it right
Put your hands in the air won't you make those titties fight?
I'm Choppa-Chop, you know what I'm about, I wanna see you
Turn around and stick your booty out, your booty out (Who they want?)
You might also like[Chorus: Choppa & Master P]
Choppa style, Chop-Chop-Choppa style
Choppa style, Chop-Chop, they want
Chop-Chop, they love Chop-Chop, they want
Chop-Chop, they love Chop-Chop, who they want?
Choppa style, Chop-Chop-Choppa style
Choppa style, Chop-Chop, they want
Chop-Chop, they love Chop-Chop, they want
Chop-Chop, they love Chop-Chop (Hold up)

[Interlude: Choppa & Master P]
Check this out
I wanna know where all my ballers at
And all my independent women, ya heard me?
We gonna do it like this here (Over here, over there)
This a chant, come along kinda like this here (Over here, over there)

[Bridge: Choppa]
If you a independent woman, holla (Ow)
If you got your own house, holla (Ow)
If you drive your own car, holla (Ow)
If you hate your baby daddy, holla (Ow)
If you an independent player, holla (Oh yeah)
If you hate your baby mama, holla (Oh yeah)
If you drive your own car, holla (Oh yeah)
If you take care of your kids, holla (Oh yeah)
Now won't you walk with it? Walkity-walk with it
Walkity-walk with it, gangsta walk with it
Shakety-shake with it, shakety-shake with it
Shakety-shake with it, shakety-shake with it
Now we got a brand new dance and it just won't stop
Throw your hands in the air and do the Choppa Rock
It go chop up a rock, rock, Choppa Rock
Rock, chop up a rock, rock, rock, y'all ready?
East Coast, where you at? Let me get a hand clap
West Coast, where you at? Let me get a hand clap
Midwest, where you at? Let me get a hand clap
Dirty South, where you at? Let me get a hand clap (Uh-oh)
[Verse 2: Master P]
Indonesia don't tease ya
I'm in the Benz with a bow-legged beaver
I likes to flip my pancakes up
And sex, I likes to give it to 'em rough
Big paper, all flavors
Send the word to the hood, I'm Jim Bakker
Love don't cost a thing, now who said that?
Big pimpin' and ballin', who made it?
I'm in that new Hummer with spinnin' wheels
And, aw man, check out the grill
Money, Gucci sandals, strip leather
I'm lookin' for the ghetto Cinderella
Choppa called me up, it's off the heezy
Now we tag teamin' for sheezy
I asked her, ""Boo, call me a donkey""
'Less they crush balls, I like 'em chunky

[Chorus: Choppa]
Choppa style, Chop-Chop-Choppa style
Choppa style, Chop-Chop, they want
Chop-Chop, they love Chop-Chop, they want
Chop-Chop, they love Chop-Chop, who they want?
Choppa style, Chop-Chop-Choppa style
Choppa style, Chop-Chop, they want
Chop-Chop, they love Chop-Chop, they want
Chop-Chop, they love Chop-Chop
[Verse 3: Choppa]
Now where your head go at when you want it from the back?
Toot-toot that ass up, she like it like that
Where my fellas go at when they hit it from the back?
Smack-smack that ass up, she like it like that
Won't you wobble-wobble move that? Show me how you do that
Girl, you a hood rat, make you holla, ""Ooh, yeah""
Wobble-wobble move that, show me how you do that
Girl, you a hood rat, make you holla, ""Ooh, yeah""
Wobble for me, come on
Won't you back it up for me? Come on
Won't you wobble for me? Come on
'Cause you know what Choppa want, come on

[Outro: Choppa]
It's on now nigga, we ready
I said it's on now nigga, we ready
I said it's on now nigga, we ready
I said it's on now nigga, we ready
It's on now, it's on now
It's on now, we ready
The New No Limit, we ready
We ready, we ready2",0.867,0.89,6,-4.032,0,0.201,0.245,4.46e-06,0.236,0.503,99.998,264106,4,['hip-hop']
Chris Daughtry,Wanted Dead Or Alive,43,non-hit,"[Verse 1]
It's all the same, only the names will change
Everyday it seems we're wasting away
Another place where the faces are so cold
I'd drive all night just to get back home

[Hook]
I'm a cowboy
On a steel horse I ride
I'm wanted dead or alive
I'm wanted dead or alive

[Verse 2]
Sometimes I sleep, sometimes it's not for days
The people I meet always go their separate ways
Sometimes you tell the day by the bottle that you drink
Sometimes when you're alone all you do is think

[Hook]
I'm a cowboy
On a steel horse I ride
I'm wanted (wanted) dead or alive
I'm wanted (wanted) dead or alive

[Break]
Yeah
You might also like[Guitar Solo]

[Hook: Variation]
Ooh, I'm a cowboy
On a steel horse I ride
I'm wanted (wanted) dead or alive

[Verse 3]
I walk these streets, a loaded six string on my back
I play for keeps, 'cause I might not make it back
I been everywhere (oh, yeah), still I'm standing tall
I've seen a million faces and I've rocked them all

[Outro]
'Cause I'm a cowboy
On a steel horse I ride
I'm wanted (wanted) dead or alive
Well, I'm a cowboy
I've got the night on my side
And I'm wanted (wanted) dead or alive
Yeah, I ride (yeah, I ride), dead or alive
I still drive (still drive), dead or alive
Dead or alive
Dead or alive
Dead or alive
Dead or alive",0.483,0.668,7,-6.861,1,0.04,0.000938,0.0,0.107,0.329,156.033,271573,4,['pop']
Chris Medina,What Are Words,83,non-hit,"[Verse 1]
Anywhere you are, I am near
Anywhere you go, I'll be there
Anytime you whisper my name, you'll see

Where every single promise I'll keep
Cause what kind of guy would I be
If I was to leave when you need me most

[Hook]
What are words
If you really don't mean them
When you say them
What are words
If they're only for good times
Then they're done

When it's love
Yeah, you say them out loud
Those words, They never go away
They live on, even when we're gone

[Verse 2]
And I know an angel was sent just for me
And I know I'm meant to be where I am
And I'm gonna be
You might also likeStanding right beside her tonight
And I'm gonna be by your side
I would never leave when she needs me most

[Hook]
What are words
If you really don't mean them
When you say them
What are words
If they're only for good times
Then they're done

When it's love
Yeah, you say them out loud
Those words, They never go away
They live on, even when we're gone

[Verse 3 (first verse again]
Anywhere you are, I am near
Anywhere you go, I'll be there
And I'm gonna be here forever more

Every single promise I'll keep
Cause what kind of guy would I be
If I was to leave when you need me most
[Outro]
I'm forever keeping my angel close8",0.602,0.242,0,-7.402,1,0.0325,0.835,0.0,0.0859,0.462,123.85,189093,4,['pop']
Citizen King,Better Days (And The Bottom Drops Out),25,hit,"(It goes a little something like, like, like this)

[Verse 1]
In my shoes my toes are busted
My kitchen says my bread is molded
I got a good job at the dollar store
One foot in the hole, one foot getting deeper
With a broken mirror and a blown-out speaker
I ain't got much else to lose

I'm faded, flat busted
Been jaded, I've been dusted
I know that I've seen better days
One foot in the hole, one foot getting deeper
Crank it to eleven, blow another speaker
And I ain't got, I ain't got much to lose

[Chorus]
Cause I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out

I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out
You might also like[Verse 2]
Now, my cup's filled up with five-buck wine
I find myself here all the time
Another rip in the glass, another chip in my tooth
Rained on, I've been stained on
Found another goat I try to put the blame on
And now I'm stepping on all the cracks, so I guess there ain't no use

[Chorus]
Cause I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out

I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out

[Bridge]
Like my Gucci bag?
That's beautiful, beautiful
Check it, check it out

[Verse 3]
I'm bent like glass, second hand like glory
Missed the bus, but I'm in no hurry
Molasses fast, no business born
One foot in the hole, one foot getting deeper
Crank it to eleven, blow another speaker
And I ain't got, I ain't got much to lose
[Chorus]
Cause I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out

I've seen better days
I've been the star of many plays
I've seen better days
And the bottom drops out

[Outro]
I know that I've seen better days
(And the bottom drops out)
I've been the star of so many plays
(And the bottom drops out)

I walked on the edge without a hold whole way
(And the bottom drops out)
Cause I know, I know that I've seen better, better days
(And the bottom drops out)

(Now I'm real thirsty)1",0.758,0.896,9,-3.311,1,0.0501,0.173,3.18e-05,0.136,0.797,94.911,207027,4,['indie']
City High,What Would You Do?,8,hit,"[Verse 1: Robby]
Boys and girls, wanna hear a true story?
Saturday night I was at this real wild party
They had the liquor overflowing the cup
About five or six strippers tryna work for a buck
And I took one girl outside with me
Her name was Lonni, she went to junior high with me
I said, ""Why you up in there dancin' for cash?
I guess a whole a lot's changed since I seen you last.""
She said

[Chorus: Claudette & Robby]
What would you do if your son was at home
Crying all alone on the bedroom floor
'Cause he's hungry?
And the only way to feed him is to
Sleep with a man for a little bit of money
And his daddy's gone
Somewhere smokin' rock now, in and out of lockdown
I ain't got a job now
So for you this is just a good time, but for me this is what I call life
Mmm

[Verse 2: Ryan Toby]
Girl, you ain't the only one with a baby
That's no excuse to be livin' all crazy
Then she looked me right square in the eye
And said every day I wake up hopin' to die
She said, ""[Nigga], I know about pain 'cause
Me and my sister ran away so my daddy couldn't rape us
Before I was a teenager
I done been through more [shit] that you can't even relate to""
You might also like[Chorus: City High (Ryan)]
What would you do if your son was at home (Oh)
Crying all alone on the bedroom floor (Woahh, woah)
'Cause he's hungry?
And the only way to feed him is to
Sleep with a man for a little bit of money (Yeah, woah)
And his daddy's gone
Somewhere smokin' rock now, in and out of lockdown
I ain't got a job now
So for you this is just a good time, but for me this is what I call life
Mmm (Yeah)

[Breakdown: Ryan]
Yo, wait, hold up, hold up, hold up
Hold up, stop the record, yo
Stop the record
You should you ain't gonna be going out
Like this man

[Bridge: (Claudette) Ryan and Toby]
Hold up!
(What would you do?)
Get up on my feet and let go of every excuse
(What would you do?)
'Cause I wouldn't want my baby to go through what I went through
(Come on, what would you do?)
Get up on my feet and stop making tired excuses
(What would you do?)
Girl, I know if my mother can do it, baby, you can do it
[Chorus: City High (Ryan)]
What would you do if your son was at home
Crying all alone on the bedroom floor (Crying all alone, yeah)
'Cause he's hungry?
And the only way to feed him is to (Only way to feed him)
Sleep with a man for a little bit of money
And his daddy's gone (Nooo)
Somewhere smokin' rock now, in and out of lockdown (Yeah)
I ain't got a job now (Yeahhh)
So for you this is just a good time, but for me this is what I call life
Mmm

[Chorus 2: Robby & Ryan rap-singing]
What would you do if your son was at home
Crying all alone on the bedroom floor
'Cause he's hungry?
And the only way to feed him is to
Sleep with a man for a little bit of money
And his daddy's gone
Somewhere smokin' rock now, in and out of lockdown
I ain't got a job now
So for you this is just a good time, but for me this is what I call life
Come on

[Chorus: City High]
What would you do if your son was at home
Crying all alone on the bedroom floor
'Cause he's hungry?
And the only way to feed him is to
Sleep with a man for a little bit of money
And his daddy's gone
Somewhere smokin' rock now, in and out of lockdown
I ain't got a job now
So for you this is just a good time, but for me this is what I call life
Mmm4",0.738,0.776,7,-7.32,1,0.235,0.244,0.0,0.469,0.833,95.942,175400,4,['pop']
City High Featuring Eve,Caramel,18,hit,"[Intro]
Fo' real and that's no question
No frontin' and no guessin'
(City High)
Caramel Complexion
Body-Body-Body-Body like heaven

[Verse 1: Claudette]
Uh-huh, come on
You can say I'm plain Jane but it's not the same
I ain't into big names but I like nice things
I watch boxin' matches and the football games
I wouldn't mind being an actress but I love to sing
I like goin' out, takin' walks and stuff
I don't run with many girls 'cause they talk too much
I enjoy quiet nights at home and curl up next to ya
Though I'm ain't a virgin that don't mean I'm havin' sex with ya

[Chorus: Claudette (Ryan)]
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)
You might also like'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

[Verse 2: Claudette]
Baby, look me in the eyes and tell me yeah
I'm the kind of girl you like, I'm feelin' you
'Cause sweetie you're my kind of guy, that's what it is
Think about it you just might wanna run with this
All night long and if you want me, we can keep this going
But let me tell you I'm the type that's strong
And I don't trust a lot of men, I'm independent
I ain't like some other women

[Chorus: Claudette (Ryan)]
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)
'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

[Bridge: Ryan]
Ven aqui, Ven aqui Mama
Baby girl don't you know you're a star
We could take a little trip to mi casa
Spend the night popping cris in the hot tub
See I ain't never seen no girl like you
Every sexy little thing you do
5'5' brown eyes with your thick thighs
Every time I see your smile its got me hypnotized

[Verse 3: Eve]
I keep 'em mesmerized, listen to me closely
E-V-E is how a thorough bred supposed to be
Hate the thirsty type, can't even get close to me
That's why I got my own stack, Daddy, how it's supposed to be
I ain't about the game, playin' and gift chasin'
All in frontin' Daddy please, we both big facin'
All the things I want, I got, forget me not
Just from my stance, why you starin' at me? Got you hot
Not too many bitches like her, one of a kind
I mean even the bitches like her, she just a dime
Not impressed by your Cris' poppin' 'cause if you would
I might end, of the night we gone be lip locking
But only if I choose to, I don't fall in love easily
Give you the blues Boo, I have you sittin'
'Round misty-eyed Caramel, get 'em all the time
Hot shit from City High
[Chorus: Claudette (Ryan)]
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)2",0.806,0.608,5,-9.775,0,0.324,0.343,0.0002,0.193,0.297,93.065,208840,4,['r&b']
Colby O'Donis Featuring Akon,What You Got,14,hit,"[Intro: Akon]
Konvict, Konvict
Oh-oh, oh-oh, oh-oh, oh-oh
Oh-oh, oh-oh, oh-oh, oh-oh

[Verse 1: Colby O'Donis]
I peeped you on the phone
Just showin' off your stones
And notice that that pinky ring is right enough, baby
I know you're not alone
But I could just be wrong
The way them fellas houndin' and sizin' you up, baby

[Pre-Chorus: Colby O'Donis & (Akon)]
And I like the way you take advantage of
Every man you love
(I see) I seem to know your game girl
But I don't mind if you come and play your thug
Just don't talk too much
(I see) I see it, so you don't have to say a word

[Chorus: Colby O'Donis & (Akon)]
Yeah, those guys wanna come treat you right
‘Cause you're sweeter than apple pie
Everything that you want you got
Girl, you know that you need to stop
Most beautiful thing in sight
Always takin' up the spotlight
Always in the club lookin' hot
Girl, you know that you need to stop
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Girl, you know that you need to stop
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Girl, you know that you need to stop
You might also like[Verse 2: Colby O'Donis]
Girl, I can tell you want something to love
That's why you hold on to everything that pass you by
Can't resist, girl, I can't lie
Now tell if you are here for me
Or everybody watchin' you shake from left to right
The way you move got me hypnotized

[Pre-Chorus: Colby O'Donis & (Akon)]
And I like the way you take advantage of
Every man you love
(I see) I seem to know your game girl
But I don't mind if you come and play your thug
Just don't talk too much
(I see) I see it, so you don't have to say a word

[Chorus: Colby O'Donis & (Akon)]
Yeah, those guys wanna come treat you right
‘Cause you're sweeter than apple pie
Everything that you want you got
Girl, you know that you need to stop
Most beautiful thing in sight
Always takin' up the spotlight
Always in the club lookin' hot
Girl, you know that you need to stop
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Girl, you know that you need to stop
Always talking 'bout what you got (Oh-oh, oh-oh, oh-oh)
Always talking 'bout what you got (Oh-oh, oh-oh, oh-oh)
Always talking 'bout what you got (Oh-oh, oh-oh, oh-oh)
Girl, you know that you need to stop
[Verse 3: Akon]
Can’t keep my eyes away from you, girl
When you get on the floor and do what you do
And everybody wanna come back to that body
The kind that remind me something like you
‘Cause you’re that type that drive a man crazy
And snatch him away from his lady
No matter how hard the man hold back
He'll end up callin' you, baby
And they never really know what to do
Once you expose that thing you do
You had him crawlin' on hands and knees
And you find a way to get him out that cheese
And why you thinking you're the only dude?
She off in the mall livin' off of you
Lettin' everybody know she got you
But now you feel like a fool

[Chorus: Colby O'Donis & (Akon)]
Yeah, those guys wanna come treat you right
‘Cause you're sweeter than apple pie
Everything that you want you got
Girl, you know that you need to stop
Most beautiful thing in sight
Always takin' up the spotlight
Always in the club lookin' hot
Girl, you know that you need to stop
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Girl, you know that you need to stop
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Always talking 'bout what you got (Eh)
Girl, you know that you need to stop4",0.775,0.641,1,-6.718,1,0.038,0.0327,0.0,0.18,0.305,119.974,243013,4,['r&b']
Corey Featuring Lil' Romeo,Hush Lil' Lady,63,non-hit,"[]Now you've been watchin' me
And I've been watchin' you
So I decided to just
Come and talk to you
Ain't tryin' to run no game
Just want to know your name
And by the smile
That's on your face
I see you feel the same
So can I talk to you and
Maybe after school
I could walk you home
If that's cool with you
And then later on
I'll call you on the phone
And then I'll make you mine
By singin' you this little song
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Oh, oh, look
On the weekend
Me and you and some friends
We could go for a ride
In the back of the Benz
In the park take pictures
Me and you in the Hawk
Play games, hide-n-seek
Till it get dark
I like when you playin'
When you callin' my name
That's how I feel
Hope you feel the same
Stuffed dolls, merry-go-round
So me and you sit splash
Girl, how that sound, uh
I can tell you're feelin' me
And girl, it's plain to see
That you and me
We got a little chemistry
That's why I'm dyin' to do
Everything you want to do
Anything that you want
I can give, give it to you
So what's it gonna be
Is it gonna be you and me?
You gotta let me know
Don't keep me hangin' on
Tell me what I gotta do
To get it through to you
I want you to be my baby, so
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
So here we are
Face to face
I gave face to [unknown] away
Be patient, girl
Keep it real
I really want to
Make you mine
So tell me
So what you gonna do?
So here we are
Face to face
I gave face to [unknown] away
Be patient, girl
Now it's on you
Keep it real
I really want to
Make you mine
So tell me
So what you gonna do?
Don't cry, don't cry
Don't cry, don't cry
Basketball is my
Favorite sport
Six man's shoes when
I'm on the court
Baby Hummer
Parked right outside
Top down is how we ride
Frank wheeler [unknown]
VIP, no standin' in line
P. Miller from head to toe
You my Boo, girl
I need to know
Come on
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Hush little lady
Don't you cry
Gonna bet that
I could show you
How to have a good time
Like me and you
Playin' after school
On the weekend
At the skating rink'll be cool
Be cool, be cool, be cool
It'll be cool",0.79,0.672,0,-6.887,1,0.0482,0.0356,1.42e-05,0.148,0.619,137.48,224600,4,['r&b']
Crazy Frog,Axel F,50,non-hit,"[Intro]
Ring ding ding daa baa
Baa aramba baa bom baa barooumba
Wh-wha-what's going on-on?
Ding, ding
This is the Crazy Frog

[Chorus 1]
Ding, ding
Bem bem!

[Pre-Chorus]
Ring ding ding ding ding ding
Ring ding ding ding bem bem bem
Ring ding ding ding ding ding
Ring ding ding ding baa baa
Ring ding ding ding ding ding
Ring ding ding ding bem bem bem
Ring ding ding ding ding ding
This is the Crazy Frog
Breakdown!

[Chorus 2]
Ding ding
Br-br-break it, br-break it
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Bem, bem!
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
This is the Crazy Frog
You might also like[Bridge]
A ram me am brem da
Am da rem ram am da baabeeeaaaaaaa!
Ding, ding
This is the Crazy Frog

[Chorus 3]
Ding, ding
Da, da

[Pre-Chorus]
Ring ding ding ding ding ding
Ring ding ding ding bem bem bem
Ring ding ding ding ding ding
Ring ding ding ding baa baa
Ring ding ding ding ding ding
Ring ding ding ding bem bem bem
Ring ding ding ding ding ding
This is the Crazy Frog

[Chorus 2]
Ding, ding
Br-br-break it, br-break it
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Bem, bem!
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
Dum dum dumda dum dum dum
This is the Crazy Frog
[Outro]
Bem, bem!15",0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,168880,4,['dance']
D.H.T.,Listen To Your Heart,8,hit,"[Verse 1]
I know there's something in the wake of your smile
I get a notion from the look in your eyes, yeah
You've built a love, but that love falls apart
Your little piece of heaven turns too dark

[Drop]

[Verse 2]
Sometimes you wonder if this fight is worthwhile
The precious moments are all lost in the tide, yeah
They're swept away and nothing is what it seems
The feeling of belonging to your dreams

[Drop]You might also like",0.568,0.268,9,-9.234,0,0.0307,0.839,0.0,0.0988,0.216,144.955,271040,4,['dance']
Daniel Rodriguez,God Bless America,99,non-hit,"""God Bless America""
By Irving Berlin

While the storm clouds gather far across the sea
Let us swear allegiance to a land that's free
Let us all be grateful for a land so fair, as we
Raise our voices in a solemn prayer

God Bless America, land that I love
Stand beside her and guide her
Through the night with a light from above
From the mountains, to the prairies
To the oceans white with foam
God Bless America, my home sweet home
God Bless America, my home sweet home

© Copyright 1938, 1939 by Irving Berlin
© Copyright Renewed 1965, 1966 by Irving Berlin
© Copyright assigned to the Trustees of the God Bless America Fund
International Copyright Secured. All Rights Reserved
Used by Permission of the God Bless America Fund

All administrative rights controlled by Irving Berlin Music CompanyYou might also like",0.16,0.591,8,-3.838,1,0.0381,0.93,0.0379,0.497,0.306,85.364,168146,4,['voice']
Dante Thomas Featuring Pras,Miss California,85,non-hit,"[Intro]
Uh
I mean, I'm just sittin' right here (California)
Checking out this young lady right here
Baby, you hot (That's where I saw here)
I mean, you sexy, oh my God (I learned to love her)
Let me ask you one question
Where you from, anyway?

[Chorus]
She's Miss California (Uh)
Hottest thing in West LA (Uh-uh)
House down by the water
Sails her yacht across the bay
Drives a Maranello (Ooh-ooh)
Hollywood's her favorite scene
Loves to be surrounded
With superstars that know her name (Yeah, yeah)

[Verse 1]
She's a rich girl from the top of the food chain
Love and material things
Kinda lonely, 'til I met her at the Grammys
Ten mil on a diamond ring
She invites me to spend a day on the jet-skis
At first it didn't mean a thing
Then she told me I'm the one that she's searched for
It was hard to believe
You might also like[Chorus]
She's Miss California (Uh)
Hottest thing in West LA (Uh-uh)
House down by the water (Yeah)
Sails her yacht across the bay (Listen)
Drives a Maranello
Hollywood's her favorite scene (Mh, mh)
Loves to be surrounded (Yeah, absolutely)
With superstars that know her name

[Verse 2]
In a couple of days she had me a bracelet made
From Harry Winston's place
Went horseback up to the mountaintop
Showin' me the land she's got
Well, it's alright, but something else is on your mind
Looking past all that shines
Now the tears are running too
All those things are nice, but it's not why I'm here
I will wipe away your tears simply by just loving you

[Chorus]
She's Miss California (Uh-uh)
Hottest thing in West LA (Uh-uh)
House down by the water
Sails her yacht across the bay
Drives a Maranello (Yeah, yeah)
Hollywood's her favorite scene
Loves to be surrounded
With superstars that know her name
[Bridge]
And there you have it
I mean, she just love the way I do my bling-bling
From the ghetto to Beverly Hills, baby
Now I want everybody on the dance floor to just shake it
Man, I want you to get down
'Cause we hot tonight, baby
We on fire
Now tell these cats where you from

[Chorus]
She's Miss California
Hottest thing in West LA (In West LA)
House down by the water (House down by the water)
Sails her yacht across the bay
Drives a Maranello (Drives a Maranello, uh)
Hollywood's her favorite scene (Hollywood's her favorite scene, uh-uh)
Loves to be surrounded (Yeah)
With superstars that know her name (Uh, uh)

[Bridge]
¿Como esta', señorita? Yeah
We got Pretty Pras up in here
We got Dante up in here
And it's on like that, that's right
Now all you cats that's talking that Jeebreeze, please stop it, man
We can't take it no more
Now tell them cats where you from, baby
Come on, let 'em know
[Chorus]
(Yeah) She's Miss California
Hottest thing in West LA
House down by the water
Sails her yacht across the bay (Sails her yacht across the bay)
Drives a Maranello (Hey)
Hollywood's her favorite scene (Hollywood's her favorite scene)
Loves to be surrounded (Loves to be surrounded, yeah)
With superstars that know her name (Know her name)
She's Miss California1",0.764,0.671,6,-9.056,0,0.0866,0.000663,0.0,0.054,0.696,101.008,266146,4,['r&b']
